compute CDER for magicdata-ramc
tot_err: 46, tot_ref: 513
R8009_M8018_MS809 CDER = 0.090
tot_err: 25, tot_ref: 447
R8009_M8019_MS810 CDER = 0.056
tot_err: 49, tot_ref: 529
R8009_M8020_MS810 CDER = 0.093
Avg CDER : 0.147
currently, compute Eval set in 0.7 threshold mode
tot_err: 70, tot_ref: 593
R8001_M8004_MS801 CDER = 0.118
tot_err: 75, tot_ref: 648
R8003_M8001_MS801 CDER = 0.116
tot_err: 519, tot_ref: 1180
R8007_M8010_MS803 CDER = 0.440
tot_err: 83, tot_ref: 765
R8007_M8011_MS806 CDER = 0.108
tot_err: 67, tot_ref: 715
R8008_M8013_MS807 CDER = 0.094
tot_err: 41, tot_ref: 513
R8009_M8018_MS809 CDER = 0.080
tot_err: 26, tot_ref: 447
R8009_M8019_MS810 CDER = 0.058
tot_err: 48, tot_ref: 529
R8009_M8020_MS810 CDER = 0.091
Avg CDER : 0.138
currently, compute Eval set in 0.8 threshold mode
tot_err: 65, tot_ref: 593
R8001_M8004_MS801 CDER = 0.110
tot_err: 65, tot_ref: 648
R8003_M8001_MS801 CDER = 0.100
tot_err: 476, tot_ref: 1180
R8007_M8010_MS803 CDER = 0.403
tot_err: 64, tot_ref: 765
R8007_M8011_MS806 CDER = 0.084
tot_err: 54, tot_ref: 715
R8008_M8013_MS807 CDER = 0.076
tot_err: 45, tot_ref: 513
R8009_M8018_MS809 CDER = 0.088
tot_err: 22, tot_ref: 447
R8009_M8019_MS810 CDER = 0.049
tot_err: 48, tot_ref: 529
R8009_M8020_MS810 CDER = 0.091
Avg CDER : 0.125
currently, compute Eval set in 0.9 threshold mode
tot_err: 70, tot_ref: 593
R8001_M8004_MS801 CDER = 0.118
tot_err: 62, tot_ref: 648
R8003_M8001_MS801 CDER = 0.096
tot_err: 443, tot_ref: 1180
R8007_M8010_MS803 CDER = 0.375
tot_err: 250, tot_ref: 765
R8007_M8011_MS806 CDER = 0.327
tot_err: 297, tot_ref: 715
R8008_M8013_MS807 CDER = 0.415
tot_err: 44, tot_ref: 513
R8009_M8018_MS809 CDER = 0.086
tot_err: 21, tot_ref: 447
R8009_M8019_MS810 CDER = 0.047
tot_err: 46, tot_ref: 529
R8009_M8020_MS810 CDER = 0.087
Avg CDER : 0.194
currently, compute Test set in 0.2 threshold mode
tot_err: 237, tot_ref: 866
R8002_M8002_MS802 CDER = 0.274
tot_err: 216, tot_ref: 1118
R8002_M8003_MS803 CDER = 0.193
tot_err: 284, tot_ref: 908
R8004_M8005_MS803 CDER = 0.313
tot_err: 563, tot_ref: 1324
R8004_M8006_MS805 CDER = 0.425
tot_err: 434, tot_ref: 1120
R8005_M8007_MS806 CDER = 0.388
tot_err: 204, tot_ref: 786
R8005_M8008_MS806 CDER = 0.260
tot_err: 407, tot_ref: 1081
R8005_M8009_MS802 CDER = 0.377
tot_err: 176, tot_ref: 714
R8006_M8012_MS803 CDER = 0.246
tot_err: 71, tot_ref: 450
R8008_M8014_MS807 CDER = 0.158
tot_err: 102, tot_ref: 449
R8008_M8015_MS808 CDER = 0.227
tot_err: 207, tot_ref: 607
R8008_M8016_MS808 CDER = 0.341
tot_err: 113, tot_ref: 360
R8008_M8017_MS808 CDER = 0.314
tot_err: 82, tot_ref: 669
R8009_M8021_MS810 CDER = 0.123
tot_err: 74, tot_ref: 531
R8009_M8022_MS810 CDER = 0.139
tot_err: 75, tot_ref: 438
R8009_M8023_MS811 CDER = 0.171
tot_err: 26, tot_ref: 351
R8009_M8024_MS811 CDER = 0.074
tot_err: 247, tot_ref: 475
R8009_M8025_MS811 CDER = 0.520
tot_err: 54, tot_ref: 546
R8009_M8026_MS812 CDER = 0.099
tot_err: 60, tot_ref: 260
R8009_M8027_MS812 CDER = 0.231
tot_err: 26, tot_ref: 355
R8009_M8028_MS812 CDER = 0.073
Avg CDER : 0.247
currently, compute Test set in 0.3 threshold mode
tot_err: 186, tot_ref: 866
R8002_M8002_MS802 CDER = 0.215
tot_err: 195, tot_ref: 1118
R8002_M8003_MS803 CDER = 0.174
tot_err: 289, tot_ref: 908
R8004_M8005_MS803 CDER = 0.318
tot_err: 466, tot_ref: 1324
R8004_M8006_MS805 CDER = 0.352
tot_err: 385, tot_ref: 1120
R8005_M8007_MS806 CDER = 0.344
tot_err: 181, tot_ref: 786
R8005_M8008_MS806 CDER = 0.230
tot_err: 360, tot_ref: 1081
R8005_M8009_MS802 CDER = 0.333
tot_err: 153, tot_ref: 714
R8006_M8012_MS803 CDER = 0.214
tot_err: 64, tot_ref: 450
R8008_M8014_MS807 CDER = 0.142
tot_err: 66, tot_ref: 449
R8008_M8015_MS808 CDER = 0.147
tot_err: 180, tot_ref: 607
R8008_M8016_MS808 CDER = 0.297
tot_err: 83, tot_ref: 360
R8008_M8017_MS808 CDER = 0.231
tot_err: 87, tot_ref: 669
R8009_M8021_MS810 CDER = 0.130
tot_err: 48, tot_ref: 531
R8009_M8022_MS810 CDER = 0.090
tot_err: 60, tot_ref: 438
R8009_M8023_MS811 CDER = 0.137
tot_err: 21, tot_ref: 351
R8009_M8024_MS811 CDER = 0.060
tot_err: 266, tot_ref: 475
R8009_M8025_MS811 CDER = 0.560
tot_err: 49, tot_ref: 546
R8009_M8026_MS812 CDER = 0.090
tot_err: 39, tot_ref: 260
R8009_M8027_MS812 CDER = 0.150
tot_err: 25, tot_ref: 355
R8009_M8028_MS812 CDER = 0.070
Avg CDER : 0.214
currently, compute Test set in 0.35 threshold mode
tot_err: 177, tot_ref: 866
R8002_M8002_MS802 CDER = 0.204
tot_err: 190, tot_ref: 1118
R8002_M8003_MS803 CDER = 0.170
tot_err: 250, tot_ref: 908
R8004_M8005_MS803 CDER = 0.275
tot_err: 408, tot_ref: 1324
R8004_M8006_MS805 CDER = 0.308
tot_err: 342, tot_ref: 1120
R8005_M8007_MS806 CDER = 0.305
tot_err: 148, tot_ref: 786
R8005_M8008_MS806 CDER = 0.188
tot_err: 340, tot_ref: 1081
R8005_M8009_MS802 CDER = 0.315
tot_err: 146, tot_ref: 714
R8006_M8012_MS803 CDER = 0.204
tot_err: 62, tot_ref: 450
R8008_M8014_MS807 CDER = 0.138
tot_err: 58, tot_ref: 449
R8008_M8015_MS808 CDER = 0.129
tot_err: 163, tot_ref: 607
R8008_M8016_MS808 CDER = 0.269
tot_err: 72, tot_ref: 360
R8008_M8017_MS808 CDER = 0.200
tot_err: 87, tot_ref: 669
R8009_M8021_MS810 CDER = 0.130
tot_err: 48, tot_ref: 531
R8009_M8022_MS810 CDER = 0.090
tot_err: 52, tot_ref: 438
R8009_M8023_MS811 CDER = 0.119
tot_err: 21, tot_ref: 351
R8009_M8024_MS811 CDER = 0.060
tot_err: 266, tot_ref: 475
R8009_M8025_MS811 CDER = 0.560
tot_err: 37, tot_ref: 546
R8009_M8026_MS812 CDER = 0.068
tot_err: 29, tot_ref: 260
R8009_M8027_MS812 CDER = 0.112
tot_err: 23, tot_ref: 355
R8009_M8028_MS812 CDER = 0.065
Avg CDER : 0.195
currently, compute Test set in 0.4 threshold mode
tot_err: 158, tot_ref: 866
R8002_M8002_MS802 CDER = 0.182
tot_err: 174, tot_ref: 1118
R8002_M8003_MS803 CDER = 0.156
tot_err: 241, tot_ref: 908
R8004_M8005_MS803 CDER = 0.265
tot_err: 334, tot_ref: 1324
R8004_M8006_MS805 CDER = 0.252
tot_err: 294, tot_ref: 1120
R8005_M8007_MS806 CDER = 0.263
tot_err: 125, tot_ref: 786
R8005_M8008_MS806 CDER = 0.159
tot_err: 310, tot_ref: 1081
R8005_M8009_MS802 CDER = 0.287
tot_err: 255, tot_ref: 714
R8006_M8012_MS803 CDER = 0.357
tot_err: 63, tot_ref: 450
R8008_M8014_MS807 CDER = 0.140
tot_err: 46, tot_ref: 449
R8008_M8015_MS808 CDER = 0.102
tot_err: 142, tot_ref: 607
R8008_M8016_MS808 CDER = 0.234
tot_err: 56, tot_ref: 360
R8008_M8017_MS808 CDER = 0.156
tot_err: 89, tot_ref: 669
R8009_M8021_MS810 CDER = 0.133
tot_err: 34, tot_ref: 531
R8009_M8022_MS810 CDER = 0.064
tot_err: 45, tot_ref: 438
R8009_M8023_MS811 CDER = 0.103
tot_err: 20, tot_ref: 351
R8009_M8024_MS811 CDER = 0.057
tot_err: 267, tot_ref: 475
R8009_M8025_MS811 CDER = 0.562
tot_err: 42, tot_ref: 546
R8009_M8026_MS812 CDER = 0.077
tot_err: 31, tot_ref: 260
R8009_M8027_MS812 CDER = 0.119
tot_err: 21, tot_ref: 355
R8009_M8028_MS812 CDER = 0.059
Avg CDER : 0.186
currently, compute Test set in 0.45 threshold mode
tot_err: 152, tot_ref: 866
R8002_M8002_MS802 CDER = 0.176
tot_err: 154, tot_ref: 1118
R8002_M8003_MS803 CDER = 0.138
tot_err: 217, tot_ref: 908
R8004_M8005_MS803 CDER = 0.239
tot_err: 260, tot_ref: 1324
R8004_M8006_MS805 CDER = 0.196
tot_err: 243, tot_ref: 1120
R8005_M8007_MS806 CDER = 0.217
tot_err: 105, tot_ref: 786
R8005_M8008_MS806 CDER = 0.134
tot_err: 289, tot_ref: 1081
R8005_M8009_MS802 CDER = 0.267
tot_err: 246, tot_ref: 714
R8006_M8012_MS803 CDER = 0.345
tot_err: 54, tot_ref: 450
R8008_M8014_MS807 CDER = 0.120
tot_err: 39, tot_ref: 449
R8008_M8015_MS808 CDER = 0.087
tot_err: 132, tot_ref: 607
R8008_M8016_MS808 CDER = 0.217
tot_err: 59, tot_ref: 360
R8008_M8017_MS808 CDER = 0.164
tot_err: 91, tot_ref: 669
R8009_M8021_MS810 CDER = 0.136
tot_err: 36, tot_ref: 531
R8009_M8022_MS810 CDER = 0.068
tot_err: 38, tot_ref: 438
R8009_M8023_MS811 CDER = 0.087
tot_err: 19, tot_ref: 351
R8009_M8024_MS811 CDER = 0.054
tot_err: 271, tot_ref: 475
R8009_M8025_MS811 CDER = 0.571
tot_err: 38, tot_ref: 546
R8009_M8026_MS812 CDER = 0.070
tot_err: 26, tot_ref: 260
R8009_M8027_MS812 CDER = 0.100
tot_err: 18, tot_ref: 355
R8009_M8028_MS812 CDER = 0.051
Avg CDER : 0.172
currently, compute Test set in 0.5 threshold mode
tot_err: 148, tot_ref: 866
R8002_M8002_MS802 CDER = 0.171
tot_err: 133, tot_ref: 1118
R8002_M8003_MS803 CDER = 0.119
tot_err: 194, tot_ref: 908
R8004_M8005_MS803 CDER = 0.214
tot_err: 213, tot_ref: 1324
R8004_M8006_MS805 CDER = 0.161
tot_err: 215, tot_ref: 1120
R8005_M8007_MS806 CDER = 0.192
tot_err: 92, tot_ref: 786
R8005_M8008_MS806 CDER = 0.117
tot_err: 260, tot_ref: 1081
R8005_M8009_MS802 CDER = 0.241
tot_err: 230, tot_ref: 714
R8006_M8012_MS803 CDER = 0.322
tot_err: 55, tot_ref: 450
R8008_M8014_MS807 CDER = 0.122
tot_err: 41, tot_ref: 449
R8008_M8015_MS808 CDER = 0.091
tot_err: 115, tot_ref: 607
R8008_M8016_MS808 CDER = 0.189
tot_err: 42, tot_ref: 360
R8008_M8017_MS808 CDER = 0.117
tot_err: 89, tot_ref: 669
R8009_M8021_MS810 CDER = 0.133
tot_err: 35, tot_ref: 531
R8009_M8022_MS810 CDER = 0.066
tot_err: 35, tot_ref: 438
R8009_M8023_MS811 CDER = 0.080
tot_err: 20, tot_ref: 351
R8009_M8024_MS811 CDER = 0.057
tot_err: 246, tot_ref: 475
R8009_M8025_MS811 CDER = 0.518
tot_err: 41, tot_ref: 546
R8009_M8026_MS812 CDER = 0.075
tot_err: 18, tot_ref: 260
R8009_M8027_MS812 CDER = 0.069
tot_err: 17, tot_ref: 355
R8009_M8028_MS812 CDER = 0.048
Avg CDER : 0.155
currently, compute Test set in 0.55 threshold mode
tot_err: 122, tot_ref: 866
R8002_M8002_MS802 CDER = 0.141
tot_err: 131, tot_ref: 1118
R8002_M8003_MS803 CDER = 0.117
tot_err: 173, tot_ref: 908
R8004_M8005_MS803 CDER = 0.191
tot_err: 175, tot_ref: 1324
R8004_M8006_MS805 CDER = 0.132
tot_err: 189, tot_ref: 1120
R8005_M8007_MS806 CDER = 0.169
tot_err: 93, tot_ref: 786
R8005_M8008_MS806 CDER = 0.118
tot_err: 248, tot_ref: 1081
R8005_M8009_MS802 CDER = 0.229
tot_err: 215, tot_ref: 714
R8006_M8012_MS803 CDER = 0.301
tot_err: 51, tot_ref: 450
R8008_M8014_MS807 CDER = 0.113
tot_err: 41, tot_ref: 449
R8008_M8015_MS808 CDER = 0.091
tot_err: 85, tot_ref: 607
R8008_M8016_MS808 CDER = 0.140
tot_err: 37, tot_ref: 360
R8008_M8017_MS808 CDER = 0.103
tot_err: 91, tot_ref: 669
R8009_M8021_MS810 CDER = 0.136
tot_err: 39, tot_ref: 531
R8009_M8022_MS810 CDER = 0.073
tot_err: 37, tot_ref: 438
R8009_M8023_MS811 CDER = 0.084
tot_err: 20, tot_ref: 351
R8009_M8024_MS811 CDER = 0.057
tot_err: 202, tot_ref: 475
R8009_M8025_MS811 CDER = 0.425
tot_err: 43, tot_ref: 546
R8009_M8026_MS812 CDER = 0.079
tot_err: 19, tot_ref: 260
R8009_M8027_MS812 CDER = 0.073
tot_err: 18, tot_ref: 355
R8009_M8028_MS812 CDER = 0.051
Avg CDER : 0.141
currently, compute Test set in 0.6 threshold mode
tot_err: 124, tot_ref: 866
R8002_M8002_MS802 CDER = 0.143
tot_err: 120, tot_ref: 1118
R8002_M8003_MS803 CDER = 0.107
tot_err: 180, tot_ref: 908
R8004_M8005_MS803 CDER = 0.198
tot_err: 170, tot_ref: 1324
R8004_M8006_MS805 CDER = 0.128
tot_err: 168, tot_ref: 1120
R8005_M8007_MS806 CDER = 0.150
tot_err: 93, tot_ref: 786
R8005_M8008_MS806 CDER = 0.118
tot_err: 225, tot_ref: 1081
R8005_M8009_MS802 CDER = 0.208
tot_err: 204, tot_ref: 714
R8006_M8012_MS803 CDER = 0.286
tot_err: 45, tot_ref: 450
R8008_M8014_MS807 CDER = 0.100
tot_err: 35, tot_ref: 449
R8008_M8015_MS808 CDER = 0.078
tot_err: 83, tot_ref: 607
R8008_M8016_MS808 CDER = 0.137
tot_err: 40, tot_ref: 360
R8008_M8017_MS808 CDER = 0.111
tot_err: 95, tot_ref: 669
R8009_M8021_MS810 CDER = 0.142
tot_err: 37, tot_ref: 531
R8009_M8022_MS810 CDER = 0.070
tot_err: 40, tot_ref: 438
R8009_M8023_MS811 CDER = 0.091
tot_err: 18, tot_ref: 351
R8009_M8024_MS811 CDER = 0.051
tot_err: 176, tot_ref: 475
R8009_M8025_MS811 CDER = 0.371
tot_err: 42, tot_ref: 546
R8009_M8026_MS812 CDER = 0.077
tot_err: 18, tot_ref: 260
R8009_M8027_MS812 CDER = 0.069
tot_err: 19, tot_ref: 355
R8009_M8028_MS812 CDER = 0.054
Avg CDER : 0.134
currently, compute Test set in 0.7 threshold mode
tot_err: 106, tot_ref: 866
R8002_M8002_MS802 CDER = 0.122
tot_err: 109, tot_ref: 1118
R8002_M8003_MS803 CDER = 0.097
tot_err: 163, tot_ref: 908
R8004_M8005_MS803 CDER = 0.180
tot_err: 129, tot_ref: 1324
R8004_M8006_MS805 CDER = 0.097
tot_err: 138, tot_ref: 1120
R8005_M8007_MS806 CDER = 0.123
tot_err: 87, tot_ref: 786
R8005_M8008_MS806 CDER = 0.111
tot_err: 184, tot_ref: 1081
R8005_M8009_MS802 CDER = 0.170
tot_err: 193, tot_ref: 714
R8006_M8012_MS803 CDER = 0.270
tot_err: 38, tot_ref: 450
R8008_M8014_MS807 CDER = 0.084
tot_err: 33, tot_ref: 449
R8008_M8015_MS808 CDER = 0.073
tot_err: 78, tot_ref: 607
R8008_M8016_MS808 CDER = 0.129
tot_err: 32, tot_ref: 360
R8008_M8017_MS808 CDER = 0.089
tot_err: 86, tot_ref: 669
R8009_M8021_MS810 CDER = 0.129
tot_err: 34, tot_ref: 531
R8009_M8022_MS810 CDER = 0.064
tot_err: 33, tot_ref: 438
R8009_M8023_MS811 CDER = 0.075
tot_err: 18, tot_ref: 351
R8009_M8024_MS811 CDER = 0.051
tot_err: 121, tot_ref: 475
R8009_M8025_MS811 CDER = 0.255
tot_err: 38, tot_ref: 546
R8009_M8026_MS812 CDER = 0.070
tot_err: 18, tot_ref: 260
R8009_M8027_MS812 CDER = 0.069
tot_err: 22, tot_ref: 355
R8009_M8028_MS812 CDER = 0.062
Avg CDER : 0.116
currently, compute Test set in 0.8 threshold mode
tot_err: 110, tot_ref: 866
R8002_M8002_MS802 CDER = 0.127
tot_err: 99, tot_ref: 1118
R8002_M8003_MS803 CDER = 0.089
tot_err: 155, tot_ref: 908
R8004_M8005_MS803 CDER = 0.171
tot_err: 108, tot_ref: 1324
R8004_M8006_MS805 CDER = 0.082
tot_err: 439, tot_ref: 1120
R8005_M8007_MS806 CDER = 0.392
tot_err: 91, tot_ref: 786
R8005_M8008_MS806 CDER = 0.116
tot_err: 151, tot_ref: 1081
R8005_M8009_MS802 CDER = 0.140
tot_err: 196, tot_ref: 714
R8006_M8012_MS803 CDER = 0.275
tot_err: 44, tot_ref: 450
R8008_M8014_MS807 CDER = 0.098
tot_err: 36, tot_ref: 449
R8008_M8015_MS808 CDER = 0.080
tot_err: 67, tot_ref: 607
R8008_M8016_MS808 CDER = 0.110
tot_err: 33, tot_ref: 360
R8008_M8017_MS808 CDER = 0.092
tot_err: 74, tot_ref: 669
R8009_M8021_MS810 CDER = 0.111
tot_err: 39, tot_ref: 531
R8009_M8022_MS810 CDER = 0.073
tot_err: 35, tot_ref: 438
R8009_M8023_MS811 CDER = 0.080
tot_err: 21, tot_ref: 351
R8009_M8024_MS811 CDER = 0.060
tot_err: 100, tot_ref: 475
R8009_M8025_MS811 CDER = 0.211
tot_err: 34, tot_ref: 546
R8009_M8026_MS812 CDER = 0.062
tot_err: 19, tot_ref: 260
R8009_M8027_MS812 CDER = 0.073
tot_err: 22, tot_ref: 355
R8009_M8028_MS812 CDER = 0.062
Avg CDER : 0.125
currently, compute Test set in 0.9 threshold mode
tot_err: 93, tot_ref: 866
R8002_M8002_MS802 CDER = 0.107
tot_err: 102, tot_ref: 1118
R8002_M8003_MS803 CDER = 0.091
tot_err: 120, tot_ref: 908
R8004_M8005_MS803 CDER = 0.132
tot_err: 371, tot_ref: 1324
R8004_M8006_MS805 CDER = 0.280
tot_err: 415, tot_ref: 1120
R8005_M8007_MS806 CDER = 0.371
tot_err: 87, tot_ref: 786
R8005_M8008_MS806 CDER = 0.111
tot_err: 104, tot_ref: 1081
R8005_M8009_MS802 CDER = 0.096
tot_err: 182, tot_ref: 714
R8006_M8012_MS803 CDER = 0.255
tot_err: 44, tot_ref: 450
R8008_M8014_MS807 CDER = 0.098
tot_err: 38, tot_ref: 449
R8008_M8015_MS808 CDER = 0.085
tot_err: 303, tot_ref: 607
R8008_M8016_MS808 CDER = 0.499
tot_err: 34, tot_ref: 360
R8008_M8017_MS808 CDER = 0.094
tot_err: 78, tot_ref: 669
R8009_M8021_MS810 CDER = 0.117
tot_err: 39, tot_ref: 531
R8009_M8022_MS810 CDER = 0.073
tot_err: 34, tot_ref: 438
R8009_M8023_MS811 CDER = 0.078
tot_err: 22, tot_ref: 351
R8009_M8024_MS811 CDER = 0.063
tot_err: 70, tot_ref: 475
R8009_M8025_MS811 CDER = 0.147
tot_err: 38, tot_ref: 546
R8009_M8026_MS812 CDER = 0.070
tot_err: 17, tot_ref: 260
R8009_M8027_MS812 CDER = 0.065
tot_err: 27, tot_ref: 355
R8009_M8028_MS812 CDER = 0.076
Avg CDER : 0.145
